id,population,pop_density,pct_immigrants,bachelor_above,median_earnings,employment,employ_rate_15plus,employ_rate_25_54,pop_density_cuberoot,population_cuberoot
5927,19599,3.8,14.9,13.8,43790,3785,52.5,77.1,1.560490751,26.96153645
5929,27759,7.3,17.4,19.5,41304,6310,57.9,81.5,1.939877415,30.27851738
5931,35225,2.2,16.1,20.6,39239,9975,71.9,83.7,1.300591447,32.78060771
5933,122286,2.7,10.3,13.8,41955,33065,61,81,1.39247665,49.63548233
5935,162276,55.9,14.8,15.8,38832,44095,60.7,83.4,3.82358371,54.54455857
5937,77301,10.3,11,14.3,37629,19470,58.1,80.2,2.175767114,42.59857166
5939,50141,1.7,11,12.3,40066,11085,56.7,78,1.193483192,36.87491238
5941,62190,0.8,10.1,10.5,44508,15725,59,76.2,0.928317767,39.61930494
5943,11651,0.6,8.8,10.8,43516,2575,63.4,74.8,0.843432665,22.67015037
5945,3189,0.1,5,11.7,32864,475,46.7,58.5,0.464158883,14.71922147
5947,19664,1,10.6,13.8,40095,4065,58.3,73.6,1,26.9913095
5949,37999,0.4,11.9,10.8,47395,8930,55.9,72.6,0.7368063,33.61945916
5951,38243,0.5,10.5,12,47431,9720,62.4,76.5,0.793700526,33.69126501
5953,92264,1.8,9.4,14.4,47067,27935,66.8,81.3,1.216440399,45.18671393
5955,58264,0.5,7.2,10.2,44749,17350,72,82.7,0.793700526,38.76740806
5957,1109,0,13.1,17.1,39057,295,70.5,82.4,0,10.35087781
5959,6147,0.1,4.9,9.5,54994,1990,78.1,84.1,0.464158883,18.31840842
6001,30372,0.1,10,22.2,49787,9995,70.7,81.9,0.464158883,31.20023011
6106,32272,0.1,8.1,21.7,60540,11545,71.4,81.7,0.464158883,31.8377201
6107,9192,0,2.6,13,59957,2305,58.1,72.4,0,20.94771574
6204,15765,0,1.9,15.2,60060,3875,58.4,69.9,0,25.07444477
6205,8348,0,1.1,9.4,50104,1615,51.9,65.5,0,20.28589376
6208,5361,0,1.2,10,56864,1035,50.4,65.1,0,17.50176853
